,site_name,pm2_5_calibrated_value,pm10_calibrated_value,humidity,temperature,wind_speed,wind_direction,site_latitude,site_longitude
0,"Bahai, Kawempe",31.55901078,40.1633838,65.9295979,26.43467503,2.193986952,105.5702856,0.365309,32.58491
1,"Banda, Kampala",37.44403668,40.60076975,73.95635118,24.77745558,1.240522465,175.4190178,0.341674,32.635306
2,"Bugolobi, Nakawa",29.76050171,39.65223392,79.36362409,23.04474143,1.25850688,162.3830632,0.3075,32.6206
3,"Bukasa, Kira Municipality",30.37840155,40.26956134,76.96597038,23.52483592,1.420319532,164.1120974,0.29875,32.615
4,"Bukoto I, Kawempe",60.02429747,73.92500035,77.06063469,22.95974527,1.449071615,98.8047016,0.3517,32.591
5,"Busabala, Wakiso",18.89832881,22.85375455,77.00279473,23.76394747,1.227653596,160.9792812,0.2182,32.6176
6,"Busega, Rubaga",75.39428576,106.2295298,77.75587008,22.68497382,0.722758676,137.0566779,0.3101,32.516
7,"Butabika, Nakawa",43.24979255,56.20914426,73.2207575,24.57851929,1.53844374,165.7342518,0.30778,32.651449
8,"Buwate, Kira Municipality",32.67441368,45.11062247,77.70226711,23.13760324,1.471633795,102.110076,0.40532,32.62027
9,"Bweyogerere, Kira Municipality",41.62188654,41.4104405,74.74761513,24.20523849,1.129838159,169.2945769,0.3501,32.6662
10,"Bweyogerere, Wakiso",37.6012182,43.88054078,76.63745729,22.70005267,1.005528865,174.1160978,0.354825,32.67781
11,"Civic Centre, Kampala Central",53.81299506,69.57427894,79.18764698,23.52138152,0.774121637,212.8291729,0.314,32.59
12,"Ggaba, Makindye",29.42024462,40.51947405,72.79008844,23.31113203,2.331601764,175.7155509,0.25776,32.63686
13,"Ggulu Ward, Mukono",31.86049878,42.37708267,78.41320874,23.04869063,0.96867438,169.3167885,0.360752,32.75257
14,"Kalerwe, Kawempe",46.04482093,57.25288013,77.69147848,22.60485427,0.609462409,201.6527258,0.3564,32.573
15,Kampala Central,66.94049583,,,,,,0.3079242,32.5737127
16,KampalaCentral,62.94673769,,,,,,0.319429719,32.58244636
17,Kansanga Seed Secondary School,27.35783077,33.33121767,72.91346166,25.18397433,0.902756407,225.2371795,0.28863,32.60297
18,"Kasenge, Wakiso",47.3516883,56.59428453,77.77225802,22.68714611,0.723508279,139.7728683,0.286595,32.506107
19,"Kasubi, Rubaga",66.00052266,90.96593169,77.43157413,22.61201121,0.612386156,202.3228488,0.344,32.553
20,Kawempe,66.65783224,90.08137507,76.30577205,22.63731575,0.62541272,196.1675132,0.362032907,32.56689757
21,"Kawempe Industrial, Kawempe",49.00258758,64.92192158,78.39606509,22.89773211,1.425935311,96.3608067,0.374653,32.55744
22,"Kibuli, Makindye",33.82705279,45.07202942,69.71820664,24.37312113,0.907570733,234.7875774,0.30852,32.59224
23,"Kireka, Kira Municipality",67.53632664,80.19060358,79.29221496,22.67157896,0.970382808,169.517258,0.347014,32.64936
24,"Kirinya, Kira Municipality",42.25209737,51.22541017,75.5408572,23.88496086,1.101139111,175.1094485,0.33197,32.66903
25,"Kisugu, Makindye",33.4625678,42.67999847,72.55408608,25.20481099,0.911972436,205.8977527,0.307489,32.611755
26,"Kitukutwe, Kira Municipality",38.50428852,46.34916197,68.37929327,25.84228855,2.056993876,106.2864524,0.43965,32.65466
28,"Kiwatule, Nakawa",54.22575226,53.37360382,78.61144277,22.82825707,0.972676864,169.8698548,0.373078,32.628226
29,"Kizungu, Makindye",35.16727401,47.27654676,70.06896017,24.34673793,0.847669955,230.7697368,0.27602,32.59075
30,"Kyaliwajala, Kira Municipality",47.77217036,52.19864687,80.69294153,22.52349816,0.945142001,169.389802,0.381576,32.647109
31,"Kyebando, Kampala",28.53355218,38.05257442,68.75860705,25.76143922,2.030465022,105.2939029,0.357987,32.5841
32,"Kyebando, Kawempe",56.18288963,51.07710272,77.55270531,22.6956194,0.721794339,136.9400747,0.357057627,32.54317076
33,"Lower Nsooba, Kawempe",61.81116776,75.43555421,84.02278373,21.3025294,0.525277254,220.2986667,0.34959,32.57644
34,"Lukuli, Makindye",36.35836501,52.9815758,78.5512298,23.07374882,1.37454015,163.3394141,0.28368,32.60048
35,"Luwafu, Makindye",50.20293907,63.61180806,79.01124058,22.91515205,1.296216893,162.6120677,0.2689,32.588
36,"Luzira, Nakawa",32.91455262,,,,,,0.2990918,32.6479303
37,Makerere University Weather Station,33.14526697,44.46702367,78.21701512,22.56019714,0.607728568,199.5537883,0.333529,32.568643
38,"Makerere University_01, Kawempe",32.5366534,46.02743489,77.76258055,22.58379684,0.609819752,201.8892194,0.3323,32.5698
39,"Makerere, Kawempe",32.41825499,43.99231335,78.19492005,22.90154964,0.679047135,196.1523802,0.33347,32.56854
40,Makindye,51.47432363,,,,,,0.289453063,32.60064354
41,Makindye Kcca division offices,31.29699869,40.39314093,75.56682822,23.80927287,0.841578827,217.5571796,0.29282,32.57132
42,Makindye Nsambya/US Embassy,43.56498216,45.98436843,78.30336106,23.74271189,0.827752608,209.553487,0.29926,32.59266
43,"Makindye, Lukuli Makindye",31.6442168,45.02435077,78.84628972,23.59190262,0.774127611,214.2025639,0.28904,32.58958
44,"Mbalwa, Kira Municipality",35.78818995,49.03911888,73.21522072,24.43669423,1.168047073,178.249894,0.3655,32.6468
45,"Mbuya II, Nakawa",36.5905446,49.31494599,79.39004157,22.68282969,0.966084593,169.5250816,0.325346,32.632288
46,"Mpererwe, Kawempe",48.40406588,59.85101284,74.68460327,23.97149497,1.623464348,103.9201881,0.380684,32.57651
47,"Municipal Council, Kira Municipality",38.42544362,52.0991896,76.49872001,23.40729253,1.019575837,172.2481686,0.39738,32.64111
48,"Mutundwe, Makindye Ssabagabo",44.36324314,60.30127678,77.81264767,23.62566626,0.778859884,217.4105675,0.269993,32.558017
49,"Naguru II, Nakawa",28.0494786,38.3000128,80.47291604,22.78629074,0.976281746,163.5760551,0.3412,32.602
50,"Najera, Kira Municipality",51.80986267,66.25713623,77.21743431,23.17787867,1.541359737,102.3467671,0.391478,32.62583
51,"Nakasero II, Kampala",35.90474335,49.15315086,73.54804833,23.6093329,0.685915481,198.0895502,0.322245953,32.57580478
52,Nakawa,65.67059778,,,,,,0.3395268,32.6142522
53,"Nakawa, Nakawa",35.80806354,42.05691672,79.47542323,22.760828,0.965859654,170.1974046,0.33261,32.61005
54,"Nansana east ward, Wakiso",45.29889365,63.98319097,76.17410589,22.7262672,0.607593976,203.5207174,0.3759,32.528
55,"Nansana west ward, Wakiso",24.65501959,32.11315946,77.81855489,22.6057975,0.609991902,202.2378255,0.363,32.529
56,"Nantabulirwa ward, Mukono",39.89064441,45.96273635,70.49552231,25.29834367,1.201909937,185.7805383,0.34646,32.70328
57,"Nsambya/US Embassy, Makindye",37.77414985,51.90593104,79.47538355,23.821813,0.753065527,213.1147209,0.299358,32.59274
58,"Nsasa, Kira Municipality",37.04988156,49.67748914,79.27435843,22.65840461,0.956346718,168.9629868,0.41787,32.65689
59,"Nsawo, Kira Municipality",42.97711396,57.70901239,78.31210831,22.94060181,0.97332912,168.8845861,0.39205,32.67296
60,"Ntinda, Nakawa",34.04165519,46.47013993,80.14780207,22.80725285,0.98444988,163.7686763,0.360209,32.610756
61,Rubaga,59.9152495,,,,,,0.318686965,32.54895324
62,"Rubaga Div, Rubaga",73.01813833,,,,,,0.305636,32.563312
63,"Rubaga, Kampala",30.45901762,41.45781089,79.3814173,23.59763812,0.795696174,208.3607272,0.295314,32.553682
64,"Seguku, Makindye-Ssabagabo",26.07018538,32.64592773,78.87911391,22.98338243,1.34061163,163.8265758,0.2336,32.5635
65,"St.Ponsiano primary school, makindye",26.36609676,34.84787297,76.92464301,23.03972305,1.291420914,170.4570352,0.25562,32.60538
